0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_correct,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceD_probs
An important source of information on the credit rating of retail businesses is,the Retail Merchants Association,the local chamber of commerce,"Dun & Bradstreet, Inc.",the United States Retail Credit Association,C,True,0.0043721376,0.00364593,0.98557067,0.0064113163
"In preparation for a writing unit on short stories, a teacher presents students with several examples of short stories and works with them to identify defining characteristics of the genre. Which of the following best describes this instructional strategy?",Conferencing,Discipline-based inquiry,Self-Regulated Strategy Development,Introduction-Body-Conclusion strategy,B,True,0.30150202,0.44733506,0.15702939,0.09413352
Paper will burn at approximately what temperature in Fahrenheit?,986 degrees,2125 degrees,3985 degrees,451 degrees,D,True,0.08069508,0.08069508,0.057895884,0.7807139
The Apple iMac computer is available in all of the following colors except which?,Tangerine,Strawberry,Kiwi,Grape,C,False,0.21470241,0.28002477,0.1386223,0.36665055
What were the first names of the early American explorers Lewisand Clark?,Morgan and Mason,Meriwether and William,Cabot and Joseph,Meredith and George,B,True,0.011457436,0.9427444,0.038458373,0.0073399087
"A teacher provides support for small, flexible groups of beginning readers. As students read a text or a book that is unfamiliar to them, the teacher works with the students to teach them how to use a variety of reading strategies. Which of the following reading approaches is described?",Direct instruction,Literature circle,Guided reading,Read-aloud,C,True,0.02360471,0.38545135,0.5877431,0.0032007953
What is varicella?,a fancy pasta,a type of opera,the chicken pox virus,ancient Roman poetry,C,True,0.0005019121,0.0006197787,0.9986185,0.0002598805
Which of the following materials has a resistance that is LEAST affected by temperature changes?,Copper,Carbon,Germanium,Silicon,A,False,0.17843017,0.27313837,0.27635804,0.2720735
A second-year college student is usually called a what?,sophomore,senior,freshman,junior,A,True,0.7108736,0.026096655,0.21595897,0.047070708
In the film 'The Talented Mr Ripley' who plays Mr Ripley?,Jude Law,Matt Damon,Dustin Hoffman,Ben Affleck,B,False,0.37532908,0.26202193,0.25595218,0.10669675
A hard-edge painting is most likely to be characterized by,"an even, solid paint application",blurry color mixed on the painting's surface,scratchy brush marks clearly separated,translucent multiple layers of paint,A,False,0.03884477,0.027761107,0.8980255,0.035368565
Who was president of the United States when Bill Clinton was born?,Herbert Hoover,Harry S Truman,Franklin Roosevelt,Dwight Eisenhower,B,False,0.10114711,0.36853832,0.11918042,0.4111342
Which of the following lists includes minerals only?,"Granite, gabbro, diorite, quartz, feldspar","Gold, quartz, topaz, diamond, corundum","Gneiss, schist, phyllite, chlorite, mica","Coal, chert, limestone, dolomite, halite",B,True,0.23589209,0.509233,0.08025824,0.17461668
Which of the following is a likely outcome of the development and use of genetically modified plants?,Reduced cost of plant seeds,New plant varieties being patented,Increased genetic diversity within a planted field,Less oversight and fewer regulations than for unmodified crops,B,True,0.039845143,0.5587072,0.32844698,0.07300072
"A teacher reads aloud Where the Wild Things Are, a picture storybook in which a boy named Max encounters wild monsters that are vividly portrayed. The teacher then shows the students picture cards depicting scenes from the beginning, middle, and end of the story. Which of the following concepts of literary structure is the teacher helping students understand?",Plot sequence,Point of view,Character development,Setting,A,True,0.82157195,0.052316576,0.030635426,0.09547608
"Which movie popularized the phrase ""You talkin' to me?""",Ghost Busters,Taxi Driver,Joker,Groundhog Day,B,False,0.19320415,0.30633673,0.10711507,0.39334413
Which of the following most likely indicates the presence of water in the hydraulic system in a piece of farm machinery?,"A grayish, milky fluid",Excessive fluid use,Excessive thinning of the fluid,A noisy relief valve,A,True,0.8502145,0.0336166,0.04070806,0.07546082
What animal represents the year 2000 on the Chinese calendar?,dragon,rabbit,tiger,monkey,A,True,0.5738542,0.23459113,0.10491565,0.086639024
Which of the following is part of a farm combine?,Beater,Conditioner,Seed plate,Furrow opener,A,False,0.11843888,0.057948414,0.2078667,0.61574596
According to legend in what country are you most likely to meet a leprechaun?,Ireland,Poland,Greenland,Scotland,A,True,0.9760611,0.009989095,0.008411661,0.005538093
During which of the following processes within the hydrologic cycle do water molecules absorb energy?,Formation of ice from water,Formation of a cloud from water vapor,Runoff along the land surface,Evaporation from the ocean surface,D,False,0.06284749,0.70533985,0.09772107,0.13409165
What French city is home to a famous international film festival each spring?,Cannes,Marseille,Dijon,Lyon,A,True,0.98895186,0.004319121,0.0023759461,0.004352996
What do you call three consecutive strikes in bowling?,yahtzee,mulligan,turkey,ace,C,True,0.34527805,0.18553737,0.4330757,0.036108833
Which of the boys on the TV show 'My Three Sons' is adopted?,Mike,Ernie,Chip,Robbie,B,False,0.16522773,0.22233821,0.33246794,0.2799661
Which of these horror films spawned the most sequels?,Scream',Jaws',Halloween',Friday the 13th',D,True,0.04078449,0.06856848,0.34282088,0.5478262
What is the name of the female character played by comedian Flip Wilson on his 1970s TV show?,Miss Jackie,Elizabeth Sanford,Geraldine Jones,Gladys Knight,C,False,0.4018455,0.3658845,0.20524259,0.02702734
What kind of animal is a peregrine?,moose,cat,bird,fish,C,True,0.0011017428,0.0041579343,0.9938446,0.0008957106
What part of the human body does a gastroenterologist examine?,Brain,Skeleton,Stomach,Nose,C,True,0.0013539548,0.002719085,0.99489695,0.0010300345
A piece of paper that appears blue in sunlight is illuminated solely by a red light that is passed through a green filter. What color does the paper appear under this illumination?,Blue,Green,Red,Black,D,False,0.19026476,0.2790048,0.35407555,0.17665485
Meat should be kept frozen at what temperature in degrees Fahrenheit?,0 degrees or below,between 10 and 20 degrees,between 20 and 30 degrees,just below 32 degrees,A,True,0.36958948,0.2900941,0.14248943,0.197827
What kind of animal is cartoon character Tennessee Tuxedo?,cat,skunk,walrus,penguin,D,False,0.6746865,0.20021753,0.03520271,0.089893274
What US president is mentioned by name in the opening theme song of TV's 'All in the Family'?,Calvin Coolidge,Harry Truman,Herbert Hoover,Richard Nixon,C,False,0.18111458,0.31662676,0.22716859,0.2750901
What is the heaviest confirmed noble gas?,Xenon,Argon,Radon,Krypton,C,False,0.46495885,0.08600874,0.28645283,0.1625796
How many moles of HCl must be added to sufficient water to form 3 liters of a 2 M HCI solution?,1 mol,2 mol,3 mol,6 mol,D,True,0.10608693,0.28279653,0.26462704,0.34648955
Who led the 1831 slave insurrection in SouthamptonVirginia?,John Brown,Dred Scott,Nat Turner,Harriet Tubman,C,True,0.017185062,0.0050997767,0.9718454,0.005869807
For what purpose would you use an awl?,to shoot ducks,to polish floors,to make holes,to weigh fruit,C,True,0.0013434158,0.0010773586,0.99684024,0.00073901226
Which of these bones is located in the wrist?,Patella,Humerus,Carpals,Coccyx,C,True,0.004458607,0.11364934,0.88006234,0.0018298088
What do you call a young cow?,mare,lamb,kid,calf,D,True,0.03032131,0.017412065,0.07988602,0.8723806
Which of these is an Italian Design firm?,Escada,Fendi,Ghost,Mainbocher,B,False,0.07536639,0.2714048,0.1540389,0.49918985
