0,1,2,3,4,5,/home/incoming/LLM/llama3/llama3-8b-instruct_correct,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceA_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceB_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceC_probs,/home/incoming/LLM/llama3/llama3-8b-instruct_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.2219104,0.6321639,0.08758293,0.05834281
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.16462855,0.3995786,0.32612655,0.10966625
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.027682541,0.27417612,0.03526847,0.66287285
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.052717708,0.25746632,0.53243,0.157386
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.006323111,0.9569418,0.0042451355,0.032489926
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.07206026,0.22722486,0.54084224,0.15987265
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.23133521,0.51323956,0.16727664,0.088148594
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.35425553,0.12930915,0.26326033,0.25317502
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.10005005,0.040266275,0.002109172,0.85757446
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.09805391,0.07062559,0.4641487,0.36717182
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.0317015,0.07754786,0.814405,0.07634559
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.016234562,0.030330153,0.85242045,0.10101484
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.572405,0.3364995,0.06347385,0.027621562
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,True,0.3406364,0.1397969,0.27801934,0.24154739
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.30442888,0.18036816,0.23801738,0.27718565
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.019472672,0.21769056,0.6010629,0.16177389
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.18177837,0.5960283,0.21926658,0.0029267187
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.063974075,0.9327763,0.001144583,0.0021052104
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.021478634,0.058157366,0.41004935,0.51031464
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.06654982,0.16471238,0.31749144,0.45124632
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,False,0.07362334,0.42699596,0.35123733,0.14814341
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.03482256,0.11284855,0.75037867,0.101950176
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.95168215,0.03837068,0.0064879707,0.0034592217
"Mark has a stamp collection. He has 22 stamps from Japan, 34 from Canada, and 17 from Mexico. How many stamps does he have in all?",53,63,73,83,C,True,0.007610637,0.030694338,0.6985999,0.26309514
Identify a solution for the equation x + 2.7 = 8.4 from the given numbers.,11.1,5.7,3.7,22.68,B,False,0.3222092,0.30033204,0.36511087,0.012347855
Find the number that makes the statement true: 0.32 g = _ cg.,32,3.2,"3,200",320,A,False,0.28865492,0.41672203,0.051551208,0.24307182
Find the product of 5.7(8) mentally using the Distributive Property.,46.4,456,4.56,45.6,D,False,0.567064,0.026418535,0.054419477,0.35209802
"What is the quotient for the expression 2,314 / 4?",508,508 r2,578,578 r2,D,False,0.5107768,0.3795771,0.06621877,0.043427333
"Rosa has a goal of running a total of 100 miles this month. Each day that she ran, she ran 5 miles. Which expression could Rosa use to determine how many miles she has left to run after running for d days?",100 — 5d,5d+ 100,100 / 5d,5d,A,True,0.9988164,0.0006445956,0.00020263302,0.00033637698
Identify the algebraic expression that matches the word phrase: 4 times as many cans as Tom collected.,4t,t over 4,t − 4,t + 4,A,True,0.9808106,0.0062143174,0.0018100154,0.011165107
"Andrew wrote the number 186,425 on the board. In which number is the value of the digit 6 exactly 10 times the value of the digit 6 in the number Andrew wrote?","681,452","462,017","246,412","125,655",B,False,0.3128033,0.23427884,0.3489573,0.1039606
What is 123 / 8?,15 remainder 7,15 remainder 3,16 remainder 5,16 remainder 1,B,False,0.5942068,0.18624651,0.1255294,0.09401717
Write 8 and 2 over 4 as an improper fraction in simplest form.,17 over 2,34 over 4,17 over 4,19 over 2,A,False,0.07368672,0.4712041,0.3641183,0.09099095
"What expression can be used to show 270,240 written in expanded form?","200,000 + 7,000 + 200 + 4","200,000 + 7,000 + 200 + 40","200,000 + 70,000 + 200 + 40","200,000 + 70,000 + 2,000 + 40",C,True,0.20484239,0.17521097,0.37092164,0.24902502
A worker on an assembly line takes 7 hours to produce 22 parts. At that rate how many parts can she produce in 35 hours?,220 parts,770 parts,4 parts,110 parts,D,False,0.2273538,0.54114914,0.022865573,0.20863158
"Abe found the mean and median of this list of numbers. 1, 3, 3 If the number 6 were added to the list, then",the mean would increase.,the mean would decrease.,the median would increase.,the median would decrease.,A,True,0.73784995,0.083760306,0.10182663,0.07656312
"When n = 11, what is the value of 10 – (n + 6)?",–7,5,7,27,A,True,0.55894005,0.2258322,0.19774528,0.017482467
"Which expression represents the phrase below? 3 fewer than a number, p",3-p,p+3,3/p,p-3,D,True,0.0012655947,0.0028409425,0.00012878458,0.9957646
A theater collected $6 for each ticket sold to a movie. The theater sold 500 tickets to the movie. The expression below can be used to find how much money the theater collected for the tickets. 6 × 500 Which expression can also be used to find how much money the theater collected for the tickets?,30 × 10^1,30 × 10^3,(6 × 5) × 10^2,(6 × 5) × 10^3,C,False,0.3999556,0.10474301,0.20268762,0.29261377
Let 12-9+c=12. What value of c makes the equation true?,0,3,9,12,C,False,0.42068297,0.4995734,0.07030319,0.009440458
"The Sojourn family went on a vacation. They started with $2000. If they spent $150 each day, which expression represents how much money they had after x days?",1850x,2000 −150x,150x,2000 +150x,B,True,0.0020363987,0.95673525,0.00048558018,0.0407427
"A shelf has four books on it. The weight, in pounds, of each of the four books on the shelf is 2.5, 3.2, 2.7, 2.3 Which inequality represents the weight, w, of any book chosen from the shelf?",w > 2.3,w < 2.4,w > 3.2,w < 3.3,D,False,0.18892068,0.7530561,0.005561882,0.05246138
Which number has an absolute value greater than 5?,-6,-5,0,5,A,False,0.010387786,0.022512442,0.026526138,0.9405737
What is the value of the expression 2(3(4^2 + 1)) - 2^3?,156,110,94,48,C,False,0.4476573,0.26626623,0.20736836,0.07870815
"Gwen wrote the number pattern below on a piece of paper. 1, 5, 9, 13 What are the next two terms in Gwen’s pattern?","15, 17","15, 19","17, 19","17, 21",D,False,0.051792547,0.8760045,0.047157653,0.02504524
If 3 cans of pears cost $2.37 how many cans of pears can you buy for $9.48?,3 cans,12 cans,36 cans,13 cans,B,False,0.021586906,0.31845883,0.32095653,0.33899766
"Order from greatest to least: 3, 3 and 1 over 8,3.8,3.18.","3.18, 3 and 1 over 8, 3.8,3","3,3 and 1 over 8, 3.18, 3","3.8, 3 and 1 over 8, 3.18, 3","3.8, 3.18, 3 and 1 over 8, 3",D,True,0.22152871,0.0759625,0.20328619,0.49922267
Compute 22 / 2 + 9.,10,11,20,2,C,True,0.20096849,0.3527107,0.3873769,0.05894387
"The population of a certain city is 836,527. What is the population of this city rounded to the nearest ten thousand?","800,000","830,000","836,000","840,000",D,True,0.2432166,0.25093713,0.07563988,0.43020633
Find the product of 5 • (−9).,14,−4,45,−45,D,True,0.00070450583,0.01667322,0.0021615706,0.9804607
"Keiko spent the day bird watching and counted 34 more birds in the morning than in the afternoon. If she counted a total of 76 birds, how many birds did she count in the afternoon?",21 birds,40 birds,42 birds,84 birds,A,True,0.34543425,0.33480635,0.30011848,0.019640913
What is the value of 5 + 2 • 15 + (12 • 4)?,78,83,131,153,B,False,0.042282578,0.08246252,0.55914366,0.31611118
