0,1,2,3,4,5,C:/Users/HP/Desktop/qwen/qwenModel_correct,C:/Users/HP/Desktop/qwen/qwenModel_choiceA_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceB_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceC_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.35700577,0.34873575,0.22340852,0.07084996
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,True,0.1596366,0.24341676,0.3682778,0.22866887
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,False,0.3636388,0.17584422,0.3363109,0.1242061
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.106141545,0.30001605,0.41328958,0.18055286
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.29444107,0.41522846,0.08875325,0.20157723
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,False,0.12409601,0.346679,0.31813055,0.21109442
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,True,0.029165076,0.06598175,0.5481592,0.35669398
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,True,0.16959465,0.5023759,0.12505125,0.20297821
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,False,0.38091406,0.22218522,0.039065123,0.35783565
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,False,0.3461669,0.45148674,0.09426781,0.10807857
