0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_correct,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceD_probs
"As of 2016, about what percentage of adults aged 18 years or older were overweight?",10%,20%,40%,80%,C,True,0.11972793,0.25545198,0.34644425,0.27837577
What was GDP per capita in the United States in 1850 when adjusting for inflation and PPP in 2011 prices?,About $300,About $3k,About $8k,About $15k,B,True,0.183563,0.3840755,0.31103382,0.12132773
"As of 2019, about what percentage of people from the United States says homosexuality should be accepted by society?",52%,62%,72%,82%,C,True,0.08422571,0.2645503,0.40655488,0.24466902
Which of the following countries generated the most total energy from solar sources in 2019?,China,United States,Germany,Japan,A,True,0.32047075,0.2784298,0.2850326,0.11606681
"Controlling for inflation and PPP-adjustment, about how much did GDP per capita increase from 1950 to 2016 in Japan?",by 5 fold,by 10 fold,by 15 fold,by 20 fold,C,False,0.16325903,0.3679099,0.22754987,0.24128121
What is the biggest cause of death in children under five years old (as of 2017)?,Lower respiratory infections,Preterm birth complications,Diarrheal diseases,Malaria,A,False,0.2617831,0.28305504,0.39298296,0.062178932
"As of 2019, about what percentage of the global population does not have access to safe drinking water?",10%,20%,30%,40%,C,False,0.17042139,0.23660667,0.26189968,0.33107224
About what percentage of survey respondents from India report having paid a bribe in the last year to access public services (such as education; judiciary; medical and health; police; registry and permit services; utilities; tax revenue and customs; and land service) as of 2017?,29%,49%,69%,89%,C,True,0.094781734,0.22736955,0.35215685,0.32569185
"As of 2017, what fraction of the population in Brazil used the internet in the past three months?",18%,38%,58%,78%,C,True,0.09400867,0.27956387,0.32177603,0.30465144
"As of 2017, what fraction of the population in India used the internet in the past three months?",11%,26%,41%,56%,B,False,0.11051491,0.32482138,0.3325243,0.23213936
"As of 2018, about what percentage of Indians say that having an increasing number of people of many different races, ethnic groups and nationalities in their country makes it a better place to live (as opposed to worse or no difference)?",23%,38%,53%,68%,D,False,0.15989587,0.40830842,0.24191475,0.18988104
"As of 2019, about what percentage of the world population lives in extreme poverty (less than $1.90 a day)?",5%,10%,15%,25%,B,True,0.21238483,0.34743842,0.19187373,0.24830306
"As of 2020, about what percentage of the world population practices open defecation?",2%,4%,9%,18%,C,True,0.1489315,0.19884965,0.36289427,0.28932455
Which of the following is not an element of the redistribution-with-growth policy approach?,minimum wage legislation,land reform,progressive taxation,increased access to education,A,True,0.46259037,0.1519514,0.077306606,0.3081516
About what percentage of the global population was literate in 1950?,36%,56%,76%,96%,B,True,0.14305146,0.32237145,0.29123834,0.24333873
"As of 2016, about what percentage of adults aged 18 years or older were obese?",6%,13%,27%,46%,B,False,0.06936265,0.21617046,0.2977874,0.41667947
"As of 2019, about what percentage of Germans say the relationship between the U.S. and Germany is good?",34%,49%,64%,79%,A,False,0.10517687,0.31400013,0.2926803,0.2881427
"As of 2017, what percentage of Americans live in urban areas?",62%,72%,82%,92%,C,True,0.09753779,0.31485584,0.42038772,0.16721869
What was GDP per capita in the United States in 1950 when adjusting for inflation and PPP in 2011 prices?,About $3k,About $8k,About $15k,About $30k,C,False,0.21780184,0.3928506,0.270002,0.11934556
"In 2016, about how many people in the United States were homeless?","55,000","550,000","5,500,000","55,000,000",B,False,0.026611859,0.36166993,0.57344925,0.038268927
In 1965 how many Americans thought that sending troops to Vietnam was a mistake?,25%,45%,65%,85%,A,False,0.17555515,0.33575803,0.27190515,0.21678168
