0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_correct,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/quan/llama3_8b_v2_choiceD_probs
What is the value of p in 24 = 2p?,p = 4,p = 8,p = 12,p = 24,C,False,0.10790768,0.6661991,0.15457061,0.07132262
Ms. Perez drove a total of 40 miles in 5 days. She drove the same number of miles each day. How many miles did Ms. Perez drive each day?,5,7,8,9,C,False,0.25289118,0.3403023,0.23026004,0.1765465
Find the quotient of −40 ÷ (−8).,1 over 5,−5,−1 over 5,5,D,True,0.05502381,0.3546202,0.10564768,0.4847083
"A soccer team has $90.00 to buy soccer balls. If one soccer ball costs $15.60, what is the greatest number of soccer balls the team can buy?",4,5,6,7,B,False,0.051992655,0.37970087,0.468868,0.09943856
You and three friends go to a concert. The total cost for four tickets is $112. Write and solve an equation to find the cost of one ticket t.,4t = 112; $448,4t = 112; $28,t over 4 = 112; $448,t over 4 = 112; $28,B,True,0.0121229775,0.9481167,0.010450659,0.0293096
Use the expression below to answer the question. 3 × [(2 × 6 – 5) + (8 ÷ 4)] – 1 What is the value of the expression?,9,11,26,32,C,True,0.038656343,0.13812353,0.55489194,0.26832822
Write 1 and 1 over 11 as a whole or mixed number in simplest form.,1.1 over 11,11 over 11,12 over 11,11 over 12,C,False,0.61565787,0.19221777,0.11168251,0.0804419
Find the quotient of 2.16 ÷ 0.06.,3.6,36,0.01272,12.72,B,False,0.26136097,0.036210172,0.6726432,0.029785672
Find the difference of 142.76 – 16.5.,159.26,2.224,"14,111",126.26,D,True,0.13273296,0.18865156,0.004541872,0.6740736
Find the quotient of 5.04/0.7,0.72,0.702,10.0571,7.2,D,True,0.2097981,0.1063205,0.21477331,0.46910805
Jimmy and Kima are going on a trip. They will drive for three days. The first day they will drive 182 miles. The second day they will drive 439 miles. The third day they will drive 217 miles. Which expression is the closest estimate of how many miles Jimmy and Kima will drive on their trip?,150 + 400 + 200,200 + 400 + 200,200 + 450 + 200,200 + 500 + 200,C,True,0.0072361254,0.016890345,0.95891714,0.016956452
What is the remainder of 21 divided by 7?,21,7,1,None of these,D,False,0.012869736,0.017250607,0.9128735,0.057006188
Maddie will ride her bike a total of 56 miles over 7 days. She will ride the same number of miles each day. What is the total number of miles Maddie will ride each day?,8,9,49,63,A,True,0.38194796,0.26664263,0.28606582,0.065343596
Find the number that makes the statement 48 over 88 = ? over 11 true.,6,11,8,5,A,False,0.26323912,0.13550389,0.3006285,0.3006285
Which is the best buy?,10 bars of soap for $23.20,16 bars of soap for $36.48,13 bars of soap for $29.51,12 bars of soap for $27.60,C,False,0.31850052,0.30870128,0.150449,0.2223492
"Trish’s resting heart rate is 50 beats per minute. For every minute she exercises, her heart rate increases 5 beats per minute. How long will it take her to reach a heart rate of 120 beats per minute?",5 minutes,14 minutes,34 minutes,70 minutes,B,False,0.026052373,0.37105817,0.5315163,0.07137313
"Find the median in the set of data 23, 13, 18, 29, 32, 25.",18,24,25,29,B,True,0.2892751,0.5619656,0.14545666,0.0033026391
"Jack picks 60 apples from an apple tree. He uses 12 of them to make applesauce. He places the remaining apples equally into 6 gift baskets. Which equation can be used to determine the numberof apples, a, that Jack places into each gift basket?",(60/6)—12=a,(60—12)/6=a,(60-6)-12=a,(60+12)/6=a,B,True,0.04543819,0.94900626,0.0027181369,0.0028374775
A certain map uses a scale of 1 inch equals 25 miles. How many miles are represented by 5 inches on this map?,5,25,50,125,D,True,0.012739382,0.023986965,0.363675,0.5995987
Simplify (2 + 5)^2 − 42.,7,16,30,33,A,False,0.051255677,0.10850827,0.30195072,0.5382854
Find the value of 4 ÷ 2 • 2 + 8 − 4.,−12,12,8,16,C,True,0.11521222,0.3256549,0.32820904,0.2309239
A coach rounded the number of runners at a track meet to the nearest 10. The rounded number of runners is 400. Which number could be the actual number of runners at the track meet?,382,397,406,447,B,False,0.06327933,0.18310481,0.5509374,0.20267855
−4 +  ( −3 )=,−7,−1,1,7,A,True,0.9491622,0.03826908,0.008439504,0.0041291835
