0,1,2,3,4,5,C:/Users/HP/Desktop/qwen/qwenModel_correct,C:/Users/HP/Desktop/qwen/qwenModel_choiceA_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceB_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceC_probs,C:/Users/HP/Desktop/qwen/qwenModel_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.36007535,0.38329822,0.10769273,0.14893363
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,True,0.15225558,0.71790826,0.013097686,0.116738394
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.28797492,0.5133708,0.09312728,0.105527036
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.69280463,0.21462086,0.0798853,0.01268916
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.22594738,0.16790985,0.55055517,0.055587504
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,True,0.13325256,0.19087546,0.32342428,0.35244778
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.01416361,0.0023577488,0.002101125,0.98137754
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.6560752,0.009923138,0.31356105,0.020440646
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.036390226,0.92396593,0.028674807,0.010969092
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.012197904,0.0067626876,0.023329103,0.9577104
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.3282015,0.40845335,0.23455504,0.028790167
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.017792773,0.008637697,0.95639145,0.017178113
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.7793973,0.110542044,0.03319074,0.07686992
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.48511255,0.35215393,0.13314146,0.029592056
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.20048793,0.21258624,0.33838743,0.24853848
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.38826266,0.15810265,0.42310464,0.030530104
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.18499133,0.1401853,0.5290538,0.14576966
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.15863214,0.4035021,0.12115331,0.31671244
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.934405,0.027348453,0.014299471,0.023947107
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.50842905,0.1929779,0.27642807,0.022164972
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.13519162,0.12503181,0.13625194,0.6035247
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,True,0.016426232,0.01728192,0.9621709,0.004120881
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.18880226,0.3904355,0.19479549,0.22596674
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.14399523,0.57848066,0.119376235,0.15814781
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.12454704,0.31680208,0.42964733,0.12900352
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.29076988,0.4756678,0.18773516,0.045827117
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,True,0.08639956,0.23031577,0.3123545,0.37093017
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.51458293,0.26077792,0.20709974,0.017539412
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.039751373,0.32008347,0.62669307,0.013471996
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,True,0.11357252,0.26717675,0.59974474,0.019506015
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.30355763,0.42808485,0.13365461,0.13470286
