0,1,2,3,4,5,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_correct,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceA_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceB_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceC_probs,/home/LAB/lishuo/jerry/DDKC/qwen2_1.5b_choiceD_probs
A 10-N force at an angle 45° above the horizontal has a horizontal component of about,7 N,5 N,10 N,12 N,A,False,0.36007535,0.38329822,0.10769273,0.14893363
A completely submerged object always displaces its own,weight of fluid.,volume of fluid.,density of fluid.,All of these.,B,True,0.15217824,0.7175436,0.01314227,0.11713577
"When a diver points a flashlight upward toward the surface of the water at an angle 20° from the normal, the beam of light",totally internally reflects,passes into the air above,is absorbed,None of these,B,True,0.2860339,0.5139098,0.09358993,0.10646636
"According to four-dimensional geometry, the angles of a triangle add to 180°",always.,sometimes.,never.,on planet Earth only.,B,False,0.69248456,0.2145217,0.08016091,0.012832805
A voltage will be induced in a wire loop when the magnetic field within that loop,changes,aligns with the electric field,is at right angles to the electric field,converts to magnetic energy,A,False,0.22594738,0.16790985,0.55055517,0.055587504
"Among these colors, the one that has the most energy per photon is",red,yellow-green,blue,violet,D,True,0.1340574,0.19127972,0.32284567,0.35181725
"According to general relativity,",mass distorts spacetime.,gravity affects clocks.,light can’t escape from a black hole.,All of these.,D,True,0.0141637325,0.0023531686,0.0020970432,0.981386
A step-up transformer in an electric circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.65599537,0.009883248,0.31352293,0.02059846
Spectral lines of the elements are,chaotic,ordered,positioned by amplitude,in phase,B,True,0.036383007,0.92378265,0.028781326,0.011052931
A wave transfers,amplitude,wavelength,frequency,energy,D,True,0.012195349,0.006787734,0.02350715,0.95750976
"Immediately after two separated charged particles are released from rest, both increase in acceleration. The sign of charge of the particles is therefore",the same,opposite,Either of these,Need more information,B,True,0.3285388,0.40887314,0.23388071,0.028707402
The surface of planet Earth loses energy to outer space due mostly to,conduction,convection,radiation,radioactivity,C,True,0.017662065,0.008540816,0.95681167,0.01698544
"In a series circuit, if the current in one lamp is 2 A, the current in the lamp next to it is","half, 1 A",2 A,Depends on which lamp is closer to the battery,Not enough information to say,B,False,0.77862346,0.11086451,0.033417847,0.07709417
"As a blinking light source approaching you gains speed, you see the frequency of flashes",increase.,decrease.,remain unchanged.,None of these.,A,True,0.4851685,0.35219452,0.1331568,0.029480085
In the absence of air resistance a ball of mass m is tossed upward to reach a height of 20 m. At the 10-m position half way up the net force on the ball is,2mg,mg,mg/2,mg/4,B,False,0.20009786,0.21217263,0.33772907,0.25000045
Pumice is a volcanic rock that floats in water. The density of pumice compared with that of water is,less.,equal.,greater.,none because it sinks.,A,False,0.38821626,0.15808377,0.4230541,0.030645937
When you look at the red petals of a rose the color light you're seeing is,red.,green.,white minus red.,a mixture of green and yellow.,A,False,0.18361051,0.14077906,0.5292233,0.14638707
Compared with the sound you hear from the siren of a stationary fire engine the sound you hear when it approaches you has an increased,speed,frequency,wavelength,All of these,B,True,0.1578346,0.4062059,0.11960611,0.31635347
"When you squeeze an air-filled party balloon, you increase its",volume,mass,weight,density,D,False,0.93457276,0.027246723,0.014135414,0.024045147
Polarization is a property of,transverse waves,longitudinal waves,all waves,None of these,A,True,0.508473,0.19299458,0.27645195,0.022080466
"In a vacuum, an object has no",buoyant force,mass,weight,All of these,A,False,0.13540117,0.12473741,0.13540117,0.6044602
Temperature is generally proportional to a substance’s,thermal energy.,vibrational kinetic energy.,average translational kinetic energy.,rotational kinetic energy.,C,True,0.016549617,0.017411731,0.9618543,0.0041843983
"In a hydraulic press operation, the output piston cannot",move farther than the input piston,exceed the force input,exceed the input piston’s speed,produce increased energy,D,False,0.18832493,0.38944837,0.19506349,0.22716324
When a spinning system contracts in the absence of an external torque its rotational speed increases and its angular momentum,decreases,increases,remains unchanged,may increase or decrease,C,False,0.14433081,0.5753166,0.120592915,0.15975964
"According to Hooke’s law, if you hang by a tree branch and note how much it bends, then hanging with twice the weight produces",half the bend.,the same bend if the branch doesn’t break.,twice the bend.,4 times the bend.,C,True,0.12406632,0.31557932,0.43134576,0.12900856
When an increase in speed doubles the kinetic energy of a moving body its momentum,increases but less than doubles,doubles,more than doubles,depends on factors not stated,A,False,0.29082185,0.47575283,0.18776873,0.04565661
Suppose the number of neutrons in a reactor that is starting up doubles each minute reaching one billion neutrons in 10 minutes. When did the number of neutrons reach half a billion?,1 minute.,2 minutes.,5 minutes.,9 minutes.,D,True,0.086226135,0.22895736,0.31172755,0.37308902
"If an object is already moving and the sum of all the vector forces on a mass is zero, then the object will",move at a constant speed in a straight line,accelerate at a constant rate in a straight line,come to rest,increase its amount of inertia,A,True,0.51548404,0.26123458,0.20584792,0.017433396
"Relativity equations for time, length, and momentum hold true for",everyday low speeds.,relativistic speeds.,Both of these.,Neither of these.,C,True,0.03990075,0.3200337,0.6265956,0.013469902
Put a saucer of water on your table. A process that then occurs is,evaporation,condensation,Both,Neither,C,True,0.11252401,0.2667863,0.6012122,0.019477509
A barometer that uses water instead of mercury will be,shorter,taller,equal in height,inoperable,B,True,0.30339766,0.42785928,0.13358419,0.13515884
A heavy rock and a light rock in free fall (zero air resistance) have the same acceleration. The heavy rock doesn't have a greater acceleration because the,force due to gravity is the same on each.,air resistance is always zero in free fall.,inertia of both rocks is the same.,ratio of force to mass is the same.,D,False,0.57309115,0.025377356,0.05393413,0.34759736
When an increase in speed doubles the momentum of a moving body its kinetic energy,increases but less than doubles,doubles,more than doubles,depends on factors not stated,C,False,0.3218497,0.45388082,0.18054132,0.0437281
The equation E = mc^2 indicates that energy,equals mass moving at the speed of light squared.,equals moving mass.,is fundamentally different than mass.,and mass are closely related.,D,True,0.16786727,0.048852168,0.039716527,0.74356407
General relativity predicts that,light leaving the Sun is slowed by gravity.,light passing the Sun is deflected.,a clock on the Sun’s surface runs faster than on Earth.,All of these.,D,True,0.0408037,0.012990801,0.013882759,0.9323227
"When an element ejects an alpha particle, the atomic number of the resulting element",reduces by 2,reduces by 4,increases by 2,increases by 4,A,False,0.25995108,0.18433292,0.38119307,0.1745229
"As more lamps are connected in parallel in a circuit, the current in the power source",increases,decreases,remains the same,Not enough information to say,A,False,0.18944238,0.2549226,0.5030288,0.05260625
An airplane with its nose pointing north with an airspeed of 40 km/h in a 30-km/h crosswind (at right angles) has a groundspeed of,30 km/h,40 km/h,50 km/h,60 km/h,C,True,0.071375675,0.25703368,0.46180588,0.20978478
The energy of an emitted photon is related to its,amplitude,polarization,momentum,frequency,D,True,0.007346896,0.007232993,0.023166686,0.96225345
Thermal conduction involves mainly,electrons,protons,neutrons,ions,A,True,0.4110858,0.15301266,0.11823903,0.3176625
Compared with the current in an LED lamp the current in the connecting wire is,less.,more.,the same.,Need more information.,C,False,0.433751,0.35959217,0.1732095,0.033447284
Bow waves are produced by waves of water,overlapping one another,constructively interfering,moving slower than the source producing them,All of these,D,True,0.030242138,0.049666464,0.03282753,0.8872639
The speed of sound is slightly greater on a,cold day,hot day,day with steady temperature,None of these,B,True,0.4279295,0.5367438,0.030878255,0.0044484343
"Consider two mercury barometers, one having a cross-sectional area of 1 cm2 and the other 2 cm2. The height of mercury in the narrower tube is",half,twice,the same,None of these,C,False,0.24763478,0.47361392,0.24763478,0.031116439
The second law of thermodynamics tells us that heat doesn’t flow from,hot to cold ever,cold to hot ever,hot to cold without external energy,cold to hot without external energy,D,False,0.11549164,0.22348724,0.44099867,0.2200224
In a mixture of hydrogen oxygen and nitrogen gases at a given temperature the molecules having the greatest average speed are those of,hydrogen.,oxygen.,nitrogen.,But all have the same speed on average.,A,True,0.3830466,0.16931322,0.1781332,0.26950696
"Compared with the power input, the power output of an ideal transformer is",greater,less,the same,Any of these,C,True,0.26101115,0.33514497,0.35122892,0.052614972
The amount of air drag on an 0.8-N flying squirrel dropping vertically at terminal velocity is,less than 0.8 N,0.8 N,greater than 0.8 N,dependent on the orientation of its body,B,False,0.36638075,0.3013766,0.289831,0.04241165
The vibrations in a longitudinal wave move in a direction,along and parallel to the wave,perpendicular to the wave,Both of these,Neither of these,A,False,0.33647743,0.39338198,0.25597855,0.014162
The potential energy of a compressed spring and the potential energy of a charged object both depend on,the work done on them,motion,Both of these,Neither of these,A,False,0.20632356,0.07560628,0.68716234,0.030907784
A step-up transformer in an electrical circuit can step up,voltage,energy,Both of these,Neither of these,A,True,0.6442154,0.009858615,0.32647246,0.01945362
The neutrons in an atom are normally found,inside the nucleus,outside the nucleus,Either of these,Neither of these,A,True,0.7101771,0.17268203,0.10597155,0.01116932
The greenish-blue color of ocean water is due mostly to light that hasn’t been,absorbed,reflected,scattered,refracted,A,True,0.42678943,0.12764584,0.40093157,0.044633213
Noise-canceling devices make use of sound,destruction,interference,resonance,amplification,B,True,0.011841685,0.48993963,0.46750364,0.030714992
Black is the combination of,all the colors together,two or more appropriate colors,light when a prism is held upside down,None of these,D,False,0.38630605,0.25433725,0.22533034,0.13402632
"In a circuit of two lamps in parallel, if the current in one lamp is 2 A, the current in the other lamp is",about 1 A,2 A,Depends on which lamp is closer to the battery,Not enough information to say,D,False,0.5632861,0.21130846,0.08242697,0.14297846
Which of these changes when light refracts in passing from one medium to another?,Speed only,Wavelength only,Both speed and wavelength,Neither of these,C,True,0.22935684,0.08114328,0.663666,0.02583384
